#,# de flotte SPC // SSC Fleet #,Marque // Make,Modèle // Model,Année // Year,Couleur // Color,Couleur PCIM // FIP COLOUR,Coût // Cost,Taxes sur les pneus // Tire levy,Taxes,Prix total calculé // Total purchase price,Lecture actuelle du compteur // Current Odometer Reading,Numéro du modèle // Model number,Litres du moteur // Litres of engine,Ville // City,Province
113,400025,GMC,Acadia,2020,Silver,Black,"$30,496.00",$18.75,"$1,525.74","$32,040.49",,TNB26 (3SA),3.6 / 310,Winnipeg,MB
114,400026,Ford,Transit Connect,2020,Silver,Black,"$27,766.00",$18.75,"$1,389.24","$29,173.99",,S7S 100A,2.0 / 169,Winnipeg,MB
115,400027,Ford,F-150,2020,Silver,Black,"$34,170.00",$20.00,"$1,709.50","$35,899.50",,F1C 100A,3.3 / 290,Regina,SK
116,400028,Jeep,Grand Cherokee,2020,Silver,Black,"$36,947.00",$20.00,"$1,848.35","$38,815.35",,WKJH74 23E,3.6 / 290,Regina,SK
117,400029,GMC,Acadia,2020,Silver,Black,"$30,496.00",$20.00,"$1,525.80","$32,041.80",,TNB26 (3SA),3.6 / 310,Moose Jaw,SK
118,400030,Nissan,Pathfinder,2020,Dark Gray,White,"$30,289.00",$20.00,"$1,515.45","$31,824.45",,5XBG10/AA00,3.5 / 284,Edmonton,AB
119,400031,GMC,Acadia,2020,Silver,Black,"$30,496.00",$20.00,"$1,525.80","$32,041.80",,TNB26 (3SA),3.6 / 310,Cold Lake,AB
120,400032,GMC,Acadia,2020,Silver,Black,"$30,496.00",$20.00,"$1,525.80","$32,041.80",,TNB26 (3SA),3.6 / 310,Edmonton,AB
121,500001,GMC,Acadia,2020,Silver,Black,"$30,496.00",$25.00,"$1,526.05","$32,047.05",,TNB26 (3SA),3.6 / 310,Surrey,BC
122,500008,Subaru,Forester,2020,Silver,Black,"$26,123.00",$25.00,"$1,307.40","$27,455.40",,LJ2 25,2.5 / 182,Prince George,BC
123,500011,GMC,Acadia,2020,Silver,Black,"$30,496.00",$25.00,"$1,526.05","$32,047.05",,TNB26 (3SA),3.6 / 310,Chilliwack,BC
124,500018,Subaru,Forester,2020,Silver,Black,"$26,123.00",$25.00,"$1,307.40","$27,455.40",,LJ2 25,2.5 / 182,Kelowna,BC
125,200024,CHRYSLER,Pacifica,2021,Silver Metallic,Black,"$53,275.00",$15.00,"$2,664.50","$55,954.50",,RUER53,,Gatineau,QC
126,300045,FORD,E150,2012,Yellow,Black,,,,,,,,Ottawa,ON
127,300038,CHEVROLET,EXPRESS,2013,,,,,,,,,,Petawawa,ON
128,100015,FORD,F250,2012,Silver,Black,,,,,,,,Halifax,NS
129,300047,FORD,Transit,2015,Blue,,,,,,,,,Ottawa,
130,100016,FORD,E150,2014,White,Black,,,,,,,,Halifax,NS
131,300046,DODGE,JOURNEY,2014,Silver,Black,,,,,,,,Ottawa,ON
132,300048,DODGE,GR CARAVAN,2015,Silver,Black,,,,,,,,Ottawa,ON
133,400033,FORD,TRANSIT,2016,Blue,White,,,,,,,,Winnipeg,MB
134,300040,DODGE,GR CARAVAN,2016,,,,,,,,,,Borden,ON
135,300041,DODGE,GR CARAVAN,2016,,,,,,,,,,Borden,ON
136,300039,FORD,TRANSIT 150,2017,,,,,,,,,,Petawawa,ON
137,300042,FORD,TRANSIT,2017,,,,,,,,,,Borden,ON
138,300044,FORD,TRANSIT,2017,,,,,,,,,,Borden,ON
139,100017,FORD,TRANSIT,2017,White,Black,,,,,,,,Halifax,NS
